Train_ID,Train_Name,Source,Destination,Route,Date,Departure_Time,Day_of_Week,Is_Weekend,Is_Holiday,Platform_Number,Num_Coaches,Seat_Capacity,Passenger_Count,Seat_Occupancy_Percent,Delay_Minutes,Weather,Season,Demand_Level
TR457,Garib Rath,Bangalore,Nagpur,Bangalore-Nagpur,04-05-2025,07:42,Sunday,1,0,4,16,1152,811,70.4,32,Clear,Monsoon,Medium
TR636,Rajdhani Express,Chennai,Nagpur,Chennai-Nagpur,26-12-2025,01:40,Friday,0,0,4,18,1296,1250,96.45,10,Clear,Summer,High
TR307,Duronto Express,Kolkata,Lucknow,Kolkata-Lucknow,06-01-2025,16:27,Monday,0,0,5,10,720,361,50.14,11,Fog,Winter,Low
TR903,Shatabdi Express,Hyderabad,Lucknow,Hyderabad-Lucknow,18-08-2025,18:13,Monday,0,0,1,9,648,337,52.01,0,Clear,Monsoon,Low
TR379,Shatabdi Express,Chennai,Vizag,Chennai-Vizag,09-01-2025,00:28,Thursday,0,0,2,9,648,666,102.78,14,Cloudy,Monsoon,High
TR674,Duronto Express,Hyderabad,Jaipur,Hyderabad-Jaipur,12-04-2025,06:04,Saturday,1,0,1,16,1152,1202,104.34,16,Clear,Monsoon,High
TR423,Garib Rath,Mumbai,Pune,Mumbai-Pune,08-07-2025,22:35,Tuesday,0,0,9,11,792,629,79.42,2,Fog,Monsoon,Medium
TR440,Shatabdi Express,Hyderabad,Nagpur,Hyderabad-Nagpur,17-07-2025,18:59,Thursday,0,0,10,8,576,535,92.88,12,Rainy,Summer,High
TR803,Intercity Express,Kolkata,Nagpur,Kolkata-Nagpur,07-05-2025,18:56,Wednesday,0,0,9,20,1440,1395,96.88,4,Clear,Winter,High
TR930,Duronto Express,Mumbai,Pune,Mumbai-Pune,26-05-2025,21:15,Monday,0,0,6,11,792,449,56.69,0,Cloudy,Monsoon,Low
TR671,Shatabdi Express,Bangalore,Pune,Bangalore-Pune,03-05-2025,04:48,Saturday,1,0,1,12,864,938,108.56,11,Cloudy,Summer,High
TR703,Garib Rath,Hyderabad,Jaipur,Hyderabad-Jaipur,22-02-2025,05:16,Saturday,1,0,9,10,720,360,50,0,Cloudy,Monsoon,Low
